id,trip_id,route_id,direction_id,lat,lon,current_stop_sequence,timestamp,stop_id
VE_A22007,0001_3_798,10009,0,35.65547561645508,139.34617614746094,1,2024-12-30 18:48:23,10_4
VE_C21530,0002_3_501,10014,0,35.66023635864258,139.33958435058594,4,2024-12-30 18:48:35,370_1
VE_A21926,0001_3_796,10009,0,35.70514678955078,139.30694580078125,19,2024-12-30 18:48:58,1830_1
VE_A10910,0001_3_2830,10015,1,35.6593017578125,139.33953857421875,21,2024-12-30 18:49:09,390_0
VE_A10906,0001_3_845,10009,1,35.70432662963867,139.30905151367188,6,2024-12-30 18:48:52,1790_10
VE_A22007,0001_3_798,10009,0,35.65547561645508,139.34617614746094,1,2024-12-30 18:50:23,10_4
VE_C21530,0002_3_501,10014,0,35.66368865966797,139.34002685546875,5,2024-12-30 18:50:15,360_2
VE_A21926,0001_3_796,10009,0,35.70587539672852,139.3040313720703,20,2024-12-30 18:50:11,1840_1
VE_A10910,0001_3_2830,10015,1,35.65715026855469,139.3394012451172,21,2024-12-30 18:50:15,390_0
VE_A10906,0001_3_845,10009,1,35.70269775390625,139.31214904785156,7,2024-12-30 18:49:31,1780_10
VE_A22007,0001_3_798,10009,0,35.65547561645508,139.34617614746094,1,2024-12-30 18:51:23,10_4
VE_C21530,0002_3_501,10014,0,35.66649627685547,139.34095764160156,6,2024-12-30 18:51:17,927_1
VE_A21926,0001_3_796,10009,0,35.70684051513672,139.30067443847656,21,2024-12-30 18:50:44,1850_0
VE_A10910,0001_3_2830,10015,1,35.65715026855469,139.3394012451172,21,2024-12-30 18:51:15,390_0
VE_A10906,0001_3_845,10009,1,35.698707580566406,139.32110595703125,9,2024-12-30 18:51:13,1760_10
VE_A22007,0001_3_798,10009,0,35.65547561645508,139.34617614746094,1,2024-12-30 18:52:23,10_4
VE_C21530,0002_3_501,10014,0,35.66649627685547,139.34095764160156,6,2024-12-30 18:52:17,927_1
VE_A10910,0001_3_2830,10015,1,35.656917572021484,139.34030151367188,22,2024-12-30 18:52:06,10_0
VE_A10906,0001_3_845,10009,1,35.6977653503418,139.3240509033203,9,2024-12-30 18:52:13,1760_10
VE_A22007,0001_3_798,10009,0,35.65547561645508,139.34617614746094,1,2024-12-30 18:53:23,10_4
VE_C21530,0002_3_501,10014,0,35.67808532714844,139.34071350097656,6,2024-12-30 18:53:17,927_1
VE_A21926,0001_3_2229,10009,1,35.70779800415039,139.296875,1,2024-12-30 18:52:41,1850_10
VE_A10906,0001_3_845,10009,1,35.69748306274414,139.3248291015625,10,2024-12-30 18:52:56,1750_10
VE_A22007,0001_3_798,10009,0,35.65547561645508,139.34617614746094,1,2024-12-30 18:54:23,10_4
VE_C21530,0002_3_501,10014,0,35.68217468261719,139.33883666992188,6,2024-12-30 18:54:17,927_1
VE_A21926,0001_3_2229,10009,1,35.70779800415039,139.296875,1,2024-12-30 18:53:42,1850_10
VE_A10906,0001_3_845,10009,1,35.693870544433594,139.33154296875,12,2024-12-30 18:54:16,930_10
VE_A22007,0001_3_798,10009,0,35.65547561645508,139.34617614746094,1,2024-12-30 18:55:23,10_4
VE_C21530,0002_3_501,10014,0,35.682952880859375,139.3390350341797,7,2024-12-30 18:54:48,928_1
VE_A21926,0001_3_2229,10009,1,35.70779800415039,139.296875,1,2024-12-30 18:54:42,1850_10
VE_A10906,0001_3_845,10009,1,35.6918830871582,139.3348846435547,13,2024-12-30 18:55:15,931_10
VE_A22007,0001_3_798,10009,0,35.65547561645508,139.34617614746094,1,2024-12-30 18:55:23,10_4
VE_C21530,0002_3_501,10014,0,35.68650817871094,139.33984375,8,2024-12-30 18:55:47,929_1
VE_A21926,0001_3_2229,10009,1,35.70779800415039,139.296875,1,2024-12-30 18:55:42,1850_10
VE_A10906,0001_3_845,10009,1,35.6918830871582,139.3348846435547,13,2024-12-30 18:55:15,931_10
VE_A22007,0001_3_798,10009,0,35.65547561645508,139.34617614746094,1,2024-12-30 18:56:23,10_4
VE_C21530,0002_3_501,10014,0,35.687923431396484,139.33682250976562,9,2024-12-30 18:56:35,931_1
VE_A21926,0001_3_2229,10009,1,35.70779800415039,139.296875,1,2024-12-30 18:56:42,1850_10
VE_A10906,0001_3_845,10009,1,35.68909454345703,139.3346405029297,14,2024-12-30 18:57:01,929_10
VE_A22007,0001_3_798,10009,0,35.65547561645508,139.34617614746094,1,2024-12-30 18:57:28,10_4
VE_C21530,0002_3_501,10014,0,35.68943405151367,139.333740234375,10,2024-12-30 18:57:34,930_1
VE_A21926,0001_3_2229,10009,1,35.70779800415039,139.296875,1,2024-12-30 18:57:42,1850_10
VE_A10906,0001_3_845,10009,1,35.68781280517578,139.3372344970703,15,2024-12-30 18:57:33,928_10
VE_A22007,0001_3_798,10009,0,35.65547561645508,139.34617614746094,1,2024-12-30 18:58:23,10_4
